koi_depth,koi_duration,koi_impact,koi_model_snr,koi_max_mult_ev,koi_srad,koi_smass,koi_steff,koi_bin_oedp_sig,koi_disposition
615.8,2.9575,0.146,35.8,28.47082,0.927,0.919,5455.0,0.6864,1
874.8,4.507,0.586,25.8,20.109507,0.927,0.919,5455.0,0.0023,1
8079.2,2.40641,1.276,505.6,541.8951,0.791,0.836,5805.0,0.0,0
603.3,1.6545,0.701,40.9,33.1919,1.046,1.095,6031.0,0.309,1
1517.5,4.5945,0.538,66.5,55.204865,0.972,1.053,6046.0,0.0975,1
686.0,3.1402,0.762,40.2,33.546658,0.972,1.053,6046.0,0.546,1
226.5,2.429,0.755,15.0,12.325094,0.972,1.053,6046.0,0.4352,1
233.7,5.022,1.169,47.7,46.15308,1.958,1.358,6227.0,0.7213,0
4914.3,3.5347,0.052,161.9,137.44981,0.848,0.801,5031.0,0.1819,1
14231.0,1.74319,0.818,4304.3,6468.04,0.964,0.971,5820.0,0.1522,1
6674.7,3.88864,0.224,5945.9,3862.1846,1.952,1.449,6440.0,0.0,1
9145.7,3.19843,0.631,1741.5,1725.5824,1.451,1.132,6225.0,0.6662,1
131.1,2.6302,0.051,50.6,41.28873,1.022,0.974,5833.0,0.605,1
17984.0,3.6399,2.483,622.1,628.3708,0.848,0.938,5795.0,0.154,0
8918.7,12.2155,0.804,214.7,320.90817,0.68,0.657,5043.0,0.806,0
74284.0,4.79843,1.065,2317.0,2174.4263,0.947,1.025,6117.0,0.0003,0
10479.0,9.4378,0.292,303.4,258.8247,0.786,0.741,5152.0,0.0112,0
1288.3,3.2875,0.387,87.2,71.48005,0.696,0.676,4856.0,0.0504,1
1912.7,1.5821,0.258,65.4,52.36939,0.672,0.761,4537.0,1.0,1
397.9,3.6129,0.044,48.2,34.570904,0.819,0.781,4989.0,0.0505,0
831.0,3.0278,0.092,60.6,48.504196,0.91,0.831,5185.0,0.7722,1
363.3,2.5984,0.226,28.9,22.749151,0.91,0.831,5185.0,0.923,1
217.4,3.596,0.025,14.1,9.776852,0.91,0.831,5185.0,0.7742,1
857.2,3.4555,0.896,34.3,24.54073,0.828,0.791,4954.0,0.6183,1
934.7,2.1717,0.71,28.2,24.283327,0.847,0.931,5339.0,0.036,1
750.8,2.875,0.424,61.8,52.913242,0.831,0.928,5644.0,0.4302,1
2211.7,1.5155,0.86,181.1,130.6654,0.831,0.926,5714.0,1.0,0
18091.0,53.412,0.701,642.7,96.96236,0.983,1.03,5520.0,0.0001,0
5123.3,7.633,1.248,85.3,73.10389,1.091,1.093,6144.0,0.8513,0
724.2,5.588,0.468,34.7,31.946487,1.036,0.915,5481.0,0.3889,1
2213.9,4.6297,0.045,51.2,37.877567,0.848,0.801,5031.0,0.1551,1
1036.9,2.5819,0.105,47.1,35.96252,0.848,0.801,5031.0,0.7587,1
1121.9,3.2554,0.799,33.2,31.066507,0.826,0.785,5015.0,0.8555,1
1804.8,4.7971,0.021,80.0,61.372303,0.798,0.844,5586.0,0.6386,1
652.0,6.473,0.606,19.1,14.678595,0.798,0.844,5586.0,0.7668,1
9802.0,2.22739,0.831,696.5,670.4895,1.082,0.976,5712.0,0.0517,1
860.4,3.3827,1.016,48.3,39.745068,0.91,0.889,5550.0,0.3375,0
460.0,3.7362,0.312,29.5,26.501581,0.969,1.048,6075.0,0.1694,1
11766.0,5.2514,0.723,513.4,509.4985,1.063,1.014,6074.0,0.5224,0
601.6,2.9472,0.787,166.7,163.47614,1.087,0.941,5779.0,0.2265,1
2793.1,10.5989,0.355,141.1,124.52492,1.046,0.93,5468.0,0.4776,1
1041.6,2.2514,0.023,43.4,36.34974,0.787,0.862,5592.0,0.5047,1
1487.3,3.1744,0.597,128.6,94.70979,1.103,1.162,6174.0,0.6043,1
16814.0,2.50587,0.105,1406.8,1328.3038,0.955,0.941,5532.0,0.7998,1
8503.7,14.561,0.812,236.1,193.4089,0.705,0.782,5040.0,0.0299,0
426.7,2.6557,0.151,35.6,31.786789,0.917,1.01,5880.0,0.4053,1
1010.9,3.15,0.405,71.1,58.259056,1.015,1.007,5714.0,0.52,1
1023.5,2.6255,0.911,37.9,29.930164,1.015,1.007,5714.0,0.2364,1
1510.9,3.573,0.602,48.2,41.269753,0.763,0.846,5129.0,0.2735,1
511.7,3.3539,0.866,88.4,76.76887,1.012,0.951,5854.0,0.6645,1
192.4,3.0014,0.898,47.1,39.793564,1.087,0.941,5779.0,0.7788,1
24446.0,2.3078,0.137,835.6,1044.7283,0.956,0.981,6108.0,0.0786,0
1127.1,3.0249,0.001,28.9,28.122635,0.615,0.633,4126.0,0.7202,1
1306.1,2.0805,0.041,38.7,41.450657,0.615,0.633,4126.0,0.5008,1
1122.3,4.007,0.028,21.7,19.803268,0.615,0.633,4126.0,0.6219,1
5226.5,2.683,0.558,345.2,360.1958,0.809,0.907,5497.0,0.6769,1
821.7,1.1196,0.915,38.9,30.578562,0.564,0.578,4149.0,0.5576,1
14489.0,6.5036,0.324,745.2,691.1691,0.924,0.77,5746.0,0.8796,0
971.2,1.9982,0.28,82.4,63.58795,0.765,0.85,5005.0,0.6818,1
2804.5,2.5237,0.679,71.0,62.376225,0.473,0.503,3688.0,0.6552,1
2793.3,4.3084,0.39,221.1,210.22159,0.989,0.927,5992.0,0.5611,1
3001.0,7.5377,0.547,312.1,234.95987,0.867,0.986,5485.0,0.1322,1
1219.8,2.7594,0.031,37.1,28.490973,0.56,0.576,4077.0,0.8388,1
1053.3,1.369,0.628,30.3,21.658537,0.56,0.576,4077.0,0.0088,1
916.6,3.8896,0.883,35.8,31.608551,0.75,0.832,5557.0,0.8571,1
615.2,6.802,0.852,83.7,65.59482,1.012,0.951,5854.0,0.9647,1
725.3,3.813,1.213,39.0,32.72262,0.811,0.853,5295.0,0.0,0
1620.6,2.1145,1.26,103.6,45.885685,0.973,0.889,5735.0,0.8796,0
837.5,3.0099,0.023,64.5,48.726124,1.076,1.169,6214.0,0.228,1
950.4,4.0491,0.012,51.5,40.04205,1.076,1.169,6214.0,0.3431,1
1123.5,2.7245,0.022,47.6,39.867977,0.788,0.884,5354.0,0.9241,1
931.3,5.039,0.094,20.1,15.139797,0.788,0.884,5354.0,0.6244,1
6105.6,5.1497,0.55,277.2,207.6196,0.919,0.992,5795.0,0.0586,1
1976.3,1.8868,1.268,112.6,67.78838,1.339,1.083,6017.0,0.0003,0
871.7,3.836,1.215,38.2,34.775192,1.06,1.05,5927.0,0.9336,0
382.1,2.4282,0.238,38.9,34.037075,1.062,0.921,5519.0,0.2119,1
1304.0,2.0844,0.838,50.8,43.840405,0.679,0.767,5653.0,0.9274,1
10967.0,2.0792,1.258,299.7,277.1132,0.636,0.709,5255.0,0.8848,0
1494.7,3.3203,0.556,35.2,27.241827,0.493,0.502,3950.0,0.7533,1
1394.7,4.758,0.013,26.0,18.020908,0.493,0.502,3950.0,0.8358,1
104.0,5.351,0.95,17.1,10.87813,1.012,0.951,5854.0,0.9971,1
520.8,2.186,0.708,15.9,12.582854,0.493,0.502,3950.0,0.251,1
8544.8,2.3111,0.524,370.8,375.5263,0.774,0.866,5557.0,0.1164,1
986.8,5.228,0.4,32.1,25.599396,0.734,0.821,5395.0,0.4848,1
7969.0,2.38963,0.076,799.7,712.5235,1.106,0.935,5539.0,0.254,1
322.6,6.222,1.175,14.2,12.162734,0.824,0.919,5657.0,0.0016,0
1019.8,3.1449,0.024,53.9,47.37303,0.82,0.824,5349.0,0.894,1
16918.0,7.7915,0.281,636.8,589.42316,1.024,0.874,5627.0,0.529,0
10566.0,8.9302,0.379,138.8,115.57215,0.867,0.986,5485.0,-1.0,1
55.8,3.262,0.646,14.4,11.552998,1.012,0.951,5854.0,0.6301,1
20280.0,6.6188,0.224,347.2,323.38303,0.867,0.986,5485.0,0.0005,1
816.1,2.1541,1.225,38.8,32.004185,0.915,1.034,5663.0,0.6173,0
589.2,5.414,0.014,48.5,35.481506,0.731,0.737,4667.0,0.0,0
15044.0,1.9604,0.514,1009.3,1015.921,0.893,0.901,5934.0,1.0,1
1008.7,2.335,0.003,70.6,57.638233,0.807,0.891,5170.0,0.5746,1
2105.5,4.0595,0.26,78.5,70.729904,0.761,0.739,4905.0,0.0106,1
1632.6,1.9104,0.466,71.6,58.181076,0.493,0.502,3950.0,0.4776,1
1339.2,2.0067,1.255,64.9,50.679256,0.939,1.03,5926.0,0.887,0
893.6,4.4056,0.08,46.1,36.000114,1.053,1.026,5775.0,0.0683,1
140.7,4.1654,0.529,50.6,33.185894,1.402,1.113,5847.0,0.0464,1
418.0,4.793,0.949,28.5,24.258644,1.053,1.026,5775.0,0.3894,1
993.0,5.794,0.911,39.7,32.640865,1.053,1.026,5775.0,0.5868,1
22335.0,2.59959,0.12,1996.7,2078.4102,0.793,0.855,5150.0,0.1434,1
2472.1,3.5957,0.517,113.2,106.29421,1.085,1.181,5973.0,0.0761,1
1182.3,3.827,0.416,27.5,22.27284,0.524,0.536,3747.0,0.7252,1
824.3,1.3421,0.888,17.9,15.260293,0.524,0.536,3747.0,0.8214,1
1558.0,2.2736,0.573,56.4,45.585175,0.517,0.553,3692.0,0.1566,1
82872.0,4.34617,0.501,1300.0,1785.2972,0.932,1.051,5575.0,0.0,0
616.0,5.0642,1.121,138.2,98.60031,0.826,0.926,5514.0,0.861,0
430.2,6.0995,0.173,107.4,66.187065,1.402,1.113,5847.0,0.7875,1
1175.4,4.3791,0.053,37.8,31.21894,0.999,0.934,5601.0,0.1204,1
15148.0,3.3148,0.733,389.0,385.42834,0.776,0.852,5690.0,0.0163,0
15337.0,3.3169,0.692,166.0,170.02856,0.833,0.793,4986.0,0.4872,1
887.9,3.161,0.047,39.3,33.637074,0.732,0.733,4861.0,0.5907,1
417.5,2.506,0.258,21.3,16.489346,0.732,0.733,4861.0,0.7292,1
780.7,2.9721,0.524,70.8,58.17086,0.849,0.939,5776.0,0.1852,1
962.4,3.065,0.941,50.3,42.549767,0.997,1.072,6108.0,0.9854,0
1177.9,4.7211,1.241,110.2,98.78201,0.863,0.959,5764.0,0.6521,0
10859.0,1.8411,0.736,568.2,653.36066,0.791,0.754,5035.0,0.2726,1
3081.4,3.897,0.773,86.6,84.09906,0.817,0.926,5251.0,0.0447,1
50.0,4.377,0.706,14.7,10.168395,1.402,1.113,5847.0,0.0302,1
5073.8,5.176,0.798,117.2,110.02644,0.817,0.926,5251.0,0.4851,1
16228.0,3.831,0.709,323.4,1224.3164,0.898,0.989,5810.0,0.1597,0
44791.0,3.49949,0.377,1671.1,1748.3405,0.821,0.82,5670.0,0.0415,0
2453.9,2.1862,1.276,117.2,110.66481,0.869,0.953,6046.0,0.9756,0
3341.8,8.2183,0.008,266.3,188.42673,1.384,1.083,5739.0,0.6436,1
504.6,6.7372,0.014,49.1,34.323593,1.384,1.083,5739.0,0.3752,1
285.0,4.9843,0.235,35.1,26.274458,1.384,1.083,5739.0,0.7589,1
115.9,3.388,0.746,19.9,14.88052,1.384,1.083,5739.0,0.5003,1
120.3,3.5797,0.196,50.4,34.970474,1.402,1.113,5847.0,0.2045,1
370.3,7.159,0.379,19.4,15.157462,1.384,1.083,5739.0,0.6433,1
1037.3,2.9076,0.048,48.9,39.560696,0.756,0.849,4959.0,0.9555,1
862.7,3.57,0.7,20.9,16.481398,0.756,0.849,4959.0,0.0904,1
1268.1,3.0918,1.178,50.5,44.634888,0.701,0.683,4794.0,0.9924,0
875.4,2.6312,0.3,38.4,31.887648,0.779,0.759,4768.0,0.2613,1
391.8,2.3421,0.004,22.8,18.548983,0.779,0.759,4768.0,0.2616,1
6044.3,2.2757,1.259,269.7,300.96277,0.988,1.05,6072.0,0.7838,0
9768.0,2.5211,0.644,482.3,488.70584,0.793,0.82,5386.0,0.742,1
3812.1,2.7055,0.045,99.5,212.06973,0.877,0.973,5815.0,0.072,1
510.6,3.5176,0.926,35.9,29.971922,0.949,0.974,5653.0,0.3403,1
1024.4,2.9667,0.823,54.4,44.777393,0.826,0.785,5015.0,0.5107,1
647.5,4.016,0.97,25.7,20.855698,0.826,0.785,5015.0,0.85,1
655.9,2.75,0.644,24.8,24.029488,0.817,0.926,5251.0,0.73,1
1149.4,3.0957,0.427,52.7,42.002544,0.686,0.67,4702.0,0.8866,1
1563.8,4.3246,0.26,51.7,39.547905,0.686,0.67,4702.0,0.3424,1
2877.4,2.8589,0.458,240.6,245.59174,1.135,1.163,6073.0,0.2448,1
2020.3,3.0694,0.023,116.1,88.43494,0.978,1.013,5727.0,0.1785,1
1187.5,6.271,0.791,74.6,63.15734,0.987,0.989,5878.0,0.4521,1
25391.0,4.21587,0.782,748.1,739.8864,0.785,0.865,5862.0,0.7873,1
3604.6,11.195,0.527,160.9,129.28693,1.238,0.932,5510.0,0.4468,1
4357.2,2.9381,1.266,122.1,126.34083,0.704,0.68,4968.0,0.9974,0
269.6,5.9409,0.686,62.0,48.44607,1.317,0.961,5718.0,0.2311,1
750.6,3.1775,0.029,49.2,43.478497,0.918,0.891,5501.0,0.0892,1
1442.4,3.984,0.867,62.6,56.866776,0.826,0.83,5239.0,0.0625,1
1123.6,2.7297,0.02,53.0,43.14732,0.787,0.823,5103.0,0.8739,1
1572.6,4.7865,0.035,45.5,28.587673,0.787,0.823,5103.0,0.1413,1
812.4,2.2641,0.594,22.6,16.755081,0.787,0.823,5103.0,0.4718,1
1626.0,4.685,0.018,27.4,19.2542,0.491,0.503,3593.0,0.0766,1
22839.0,5.0264,0.377,907.8,904.6437,0.747,0.786,5522.0,0.6138,1
908.1,2.5242,0.348,59.4,48.613644,0.826,0.927,5237.0,0.6565,1
1646.2,11.3364,0.035,355.7,250.00006,2.057,1.247,5626.0,0.0115,1
421.2,1.611,0.957,10.7,9.322174,0.826,0.927,5237.0,0.5513,1
1159.8,2.743,0.23,51.7,48.83681,0.802,0.769,4947.0,0.0106,0
315.8,1.8119,0.128,30.7,28.265633,0.81,0.91,5265.0,0.6943,1
33004.0,3.11058,0.211,1630.4,1762.9304,0.806,0.804,5532.0,0.5727,0
781.2,2.1814,0.026,64.8,55.665585,0.94,1.026,5895.0,0.8648,1
1154.0,2.7251,0.196,86.1,68.72953,0.927,0.956,5527.0,0.2117,1
840.9,4.556,0.383,37.8,29.427977,0.927,0.956,5527.0,0.6485,1
569.1,1.6585,0.9,21.1,17.335663,0.927,0.956,5527.0,0.9693,1
1141.7,15.284,0.812,139.3,95.55217,2.057,1.247,5626.0,0.3816,1
1014.3,1.8832,0.965,58.3,47.643787,1.021,1.09,6126.0,0.3767,0
1843.5,3.9783,0.03,88.0,67.97784,0.929,0.915,5427.0,0.5769,1
3644.3,6.3994,0.183,155.5,112.0813,0.929,0.915,5427.0,0.6609,1
702.3,2.9003,0.209,59.3,43.151917,0.929,0.915,5427.0,0.1889,1
391.6,1.8876,0.479,41.4,23.52045,0.929,0.915,5427.0,0.9092,1
1772.5,4.1072,0.036,62.4,47.644684,0.75,0.789,5067.0,0.1875,1
488.2,2.0642,0.06,30.5,19.364616,0.787,0.823,5103.0,0.9338,1
961.4,2.3254,0.17,62.8,55.492382,0.57,0.586,4072.0,0.3342,1
881.3,2.8606,0.008,51.8,42.23077,0.57,0.586,4072.0,0.5514,1
218.5,2.517,0.95,18.5,93.56568,1.264,0.937,5670.0,0.5266,0
7425.9,4.4056,0.67,247.9,173.7981,0.93,0.882,5149.0,0.644,1
450.7,2.9004,0.429,29.2,16.790316,0.93,0.882,5149.0,0.8655,1
451.6,2.1024,0.025,39.7,34.36066,1.122,1.014,5754.0,0.4904,1
755.9,2.2607,0.567,60.8,52.078793,0.833,0.793,4986.0,0.3969,1
353.6,3.252,0.387,21.9,17.25928,0.833,0.793,4986.0,0.953,1
2260.0,3.0854,0.705,157.8,134.46404,0.517,0.544,3837.0,0.6606,1
20285.0,2.0488,7.361,192.3,551.317,0.829,0.926,5612.0,0.3765,0
1410.7,2.3892,0.327,87.2,83.29438,0.633,0.64,4261.0,0.5468,1
1250.6,2.7363,0.286,57.6,51.105682,0.633,0.64,4261.0,0.7081,1
439.0,2.3734,0.706,14.9,12.130763,0.633,0.64,4261.0,0.1071,1
401.1,5.0683,1.223,76.8,60.319134,2.404,1.333,6200.0,0.2862,0
1200.7,5.073,0.926,53.3,45.141907,0.721,0.697,4919.0,0.6279,1
298.5,3.784,0.833,125.6,92.47206,1.302,1.009,5945.0,0.1321,1
1254.9,3.035,0.537,64.5,51.219067,0.888,0.822,5121.0,0.5905,1
299.2,1.1757,0.836,15.0,12.679447,0.888,0.822,5121.0,0.0175,1
549.4,5.012,0.899,45.1,37.416832,0.961,0.968,6007.0,0.3585,1
1590.7,6.703,0.942,60.4,69.78485,0.926,1.036,5811.0,0.0069,0
3136.4,7.558,0.731,46.8,32.135025,0.75,0.789,5067.0,0.7699,1
24905.0,2.1958,1.091,125.4,1443.2662,0.603,0.602,5209.0,0.0,0
3036.1,2.8979,0.049,175.2,163.44994,0.779,0.891,5097.0,0.4967,1
507.3,3.8757,0.0,142.0,120.53189,1.411,1.053,5644.0,0.2451,1
1382.4,2.8364,0.497,52.7,45.383663,0.779,0.891,5097.0,0.7467,1
516.3,1.9616,0.252,41.6,30.771297,0.779,0.891,5097.0,0.5433,1
1333.6,2.312,0.192,48.5,28.916744,0.47,0.484,3713.0,0.6403,1
759.2,4.3224,0.014,31.0,16.535355,0.47,0.484,3713.0,1.0,1
767.3,2.6333,0.228,18.2,12.355694,0.47,0.484,3713.0,0.4223,1
620.5,2.5242,0.712,50.4,42.620125,0.919,1.014,5849.0,0.1106,1
1823.5,0.9967,0.908,147.4,40.07125,0.79,0.718,5472.0,0.9673,0
16053.0,2.07004,0.069,388.2,474.02078,0.843,0.821,5332.0,0.1059,1
6911.1,4.20241,0.018,435.9,436.9255,1.076,1.169,6214.0,0.0396,1
936.1,5.344,0.862,71.9,59.281075,1.001,1.079,6063.0,0.3868,1
9065.2,7.41287,0.075,915.7,417.8653,1.367,1.386,6823.0,0.4664,1
6932.3,4.2362,0.344,431.4,435.91187,0.827,0.914,5865.0,0.1863,1
724.2,1.6485,0.69,42.6,32.73535,0.646,0.71,4500.0,0.7136,1
942.5,3.95,0.063,25.4,15.262756,0.646,0.71,4500.0,0.4131,1
252.1,3.7727,0.008,60.2,47.59951,1.626,1.019,5869.0,0.0234,1
12861.0,3.8636,0.028,85.8,735.74506,0.975,0.811,5600.0,0.2234,0
2590.7,4.0374,0.043,123.8,97.93863,0.837,0.937,5191.0,0.1926,1
1328.5,2.9785,0.03,86.2,70.14128,0.837,0.937,5191.0,0.4186,1
14281.0,2.0778,0.437,1072.1,943.8128,1.08,1.049,5855.0,0.242,1
1897.8,2.4517,0.09,58.0,46.716137,0.509,0.508,3906.0,0.5992,1
1037.4,2.153,0.351,41.4,34.09852,0.509,0.508,3906.0,0.0683,1
366.0,6.5093,0.02,114.9,82.08292,1.302,1.009,5945.0,0.6876,1
1432.1,4.154,0.886,36.9,29.21815,0.509,0.508,3906.0,0.9929,1
807.6,2.1764,0.334,44.4,35.776676,0.411,0.44,3561.0,0.474,1
509.2,1.8177,0.001,37.8,30.518122,0.411,0.44,3561.0,0.7114,1
756.1,2.4714,0.115,30.9,24.263742,0.411,0.44,3561.0,0.781,1
1309.7,3.048,0.791,46.2,40.226162,1.142,1.009,5942.0,0.8902,1
538.6,2.5833,0.93,36.4,31.433712,0.999,1.077,6077.0,0.4144,1
685.4,8.593,0.964,15.4,10.855937,0.999,1.077,6077.0,0.1178,1
1675.6,2.9993,0.21,64.5,84.20755,0.591,0.609,4201.0,0.4432,1
362.3,1.915,0.644,14.2,19.236187,0.591,0.609,4201.0,0.8207,1
17859.0,3.23015,0.093,1669.1,1627.8156,0.794,0.886,5655.0,0.7271,1
895.5,5.083,0.045,21.6,13.00283,0.646,0.71,4500.0,0.0049,1
575.8,2.2618,0.649,28.1,18.39992,0.646,0.71,4500.0,0.4625,1
634.1,2.4283,0.714,21.4,14.958939,0.646,0.71,4500.0,0.9637,1
1692.9,3.2496,0.949,119.4,108.889015,0.827,0.914,5865.0,0.9339,0
867.0,2.5882,0.45,47.7,38.487896,0.838,0.798,5029.0,0.992,1
763.3,2.0873,0.653,23.8,19.097145,0.838,0.798,5029.0,0.8186,1
175.2,2.535,0.093,12.9,10.764539,0.838,0.798,5029.0,0.9253,1
973.5,4.1575,0.395,55.9,43.083504,0.866,0.841,5527.0,0.4554,1
1015.8,5.172,0.839,44.8,32.87861,0.866,0.841,5527.0,0.0123,1
251.3,2.603,0.11,21.2,16.134592,0.866,0.841,5527.0,0.2029,1
363.4,4.819,0.125,63.1,50.201683,1.626,1.019,5869.0,0.6324,1
952.5,4.448,0.028,22.7,19.405544,0.866,0.841,5527.0,0.8978,1
7912.7,3.16114,0.061,633.4,619.7065,1.21,0.94,5560.0,0.3731,1
4147.6,3.8449,9.303,54.5,165.18489,0.592,0.58,4187.0,0.1308,0
1151.4,2.9804,0.314,77.4,66.02574,0.801,0.915,5198.0,0.2345,1
7163.3,4.301,0.535,502.3,478.5281,1.107,1.159,6123.0,0.9019,1
1695.0,10.0134,1.252,203.5,33.146595,0.753,0.843,5525.0,0.5329,0
16653.0,3.2179,0.348,1173.9,1321.7062,1.046,1.153,6033.0,0.1893,1
1030.9,3.183,0.864,90.1,74.89582,0.965,1.075,5936.0,0.7528,0
23530.0,5.04169,0.003,1077.8,1014.9963,0.879,0.973,5510.0,0.0,1
59130.0,8.30604,0.408,1667.3,1668.1604,1.096,0.989,6140.0,0.1243,0
1398.2,1.8007,0.799,123.5,105.955894,0.944,0.983,5609.0,0.2093,1
969.7,3.0231,0.985,45.4,39.278458,0.866,0.825,5931.0,0.226,0
15664.0,6.5292,0.062,690.3,487.53952,0.9,0.844,5231.0,0.1559,1
66068.0,16.9422,0.203,1843.8,1840.2819,1.147,1.233,6257.0,0.3473,0
1144.9,3.4097,0.751,49.9,43.653084,0.708,0.806,5481.0,0.6929,1
1110.7,3.4366,0.168,55.0,46.25013,0.775,0.869,5196.0,0.575,1
1506.9,4.2309,0.206,60.7,49.64462,0.775,0.869,5196.0,0.6188,1
426.1,1.9012,0.691,25.6,23.37084,0.775,0.869,5196.0,0.4129,1
697.5,3.228,0.933,48.1,44.139656,0.884,0.816,5431.0,0.0504,1
13494.0,11.4813,0.023,529.9,1177.5599,1.796,1.174,5855.0,0.0,0
1240.2,3.4412,0.001,79.7,64.83856,0.891,0.983,5897.0,0.6024,1
40293.0,4.23479,0.886,1398.8,1464.211,0.997,1.072,6108.0,0.6241,0
1473.4,3.3129,0.032,128.3,60.539154,0.998,1.072,6007.0,0.9072,1
20953.0,3.81881,1.245,547.8,586.5923,0.924,0.991,6192.0,0.0,0
280.1,2.6849,0.433,30.6,25.538614,1.25,0.949,5553.0,0.8841,1
273.6,3.1915,0.341,25.2,19.003149,1.25,0.949,5553.0,0.5748,1
159.6,2.1888,0.271,22.7,17.345476,1.25,0.949,5553.0,0.3884,1
307.8,3.605,0.646,21.9,14.830292,1.25,0.949,5553.0,0.192,1
2090.3,4.6912,0.041,293.7,276.2209,0.712,0.71,5085.0,0.1812,1
11382.0,2.91089,0.079,1838.4,1721.1887,0.994,0.95,5524.0,0.2268,1
1037.4,3.119,1.234,37.2,29.934076,0.811,0.857,5450.0,0.9295,0
1539.1,2.9183,0.033,81.1,61.85785,1.06,0.943,5561.0,0.25,1
611.3,3.739,0.021,25.6,18.328804,1.06,0.943,5561.0,0.6822,1
796.8,3.895,0.508,26.7,19.490282,1.06,0.943,5561.0,0.1836,1
1910.5,5.1937,0.066,117.0,94.8957,1.257,0.958,6035.0,0.3528,1
1719.3,6.1998,0.142,78.7,62.296303,1.257,0.958,6035.0,0.8478,1
1009.6,8.871,0.147,37.5,28.801907,1.257,0.958,6035.0,0.1888,1
2237.0,2.4327,0.081,124.7,110.05442,0.458,0.491,3582.0,0.0813,1
741.7,1.0981,0.009,87.8,45.230915,0.458,0.491,3582.0,0.5878,1
11145.0,3.25346,0.566,2040.7,1927.6256,0.978,1.003,5514.0,0.5408,1
988.4,4.0454,0.256,45.1,38.21066,0.88,0.999,5537.0,0.8693,1
994.5,3.3862,0.035,51.0,42.55429,1.013,0.867,5344.0,0.9597,1
213.0,1.8955,0.037,25.3,20.171621,1.013,0.867,5344.0,0.6906,1
297.8,2.336,0.503,16.7,12.969576,1.013,0.867,5344.0,0.6084,1
1896.7,15.735,0.922,86.1,39.480255,7.119,2.15,5047.0,0.7313,0
446.8,5.073,0.965,32.2,24.346912,1.24,0.884,5896.0,0.6546,1
430.7,4.529,1.3,16.9,15.231214,1.24,0.884,5896.0,0.3742,1
174.0,3.282,0.949,15.1,12.186046,1.24,0.884,5896.0,0.9433,1
824.9,4.9427,0.068,97.1,87.12114,0.812,0.776,5551.0,0.0614,1
574.4,1.1784,0.185,32.2,25.57594,0.762,0.865,5757.0,0.9906,1
1973.3,0.86896,1.246,458.6,37.243492,1.783,0.905,5075.0,0.9047,0
18541.0,2.78458,1.02,534.5,560.0515,0.917,0.997,6113.0,0.7671,0
128.4,38.1939,0.968,91.7,13.385618,3.482,1.671,6980.0,0.6774,0
4511.7,1.8248,0.994,322.3,471.55078,1.132,0.998,6224.0,0.0204,0
747.5,2.1441,1.226,116.1,17.779419,0.846,0.819,5582.0,1.0,0
598.2,4.0541,1.258,140.6,51.95045,0.902,0.887,5758.0,0.8032,0
113.8,9.083,1.228,24.3,18.304235,0.901,0.954,5948.0,0.223,0
